ID number,Chart Date ,Latitude,Longitude,Category,Pressure
2021202201,2021100118,53.2,-145.9,DHF,970
2021202201,2021100200,55.3,-140.8,HF,957
2021202201,2021100206,57.5,-137.9,HF,958
2021202201,2021100212,60.1,-139.7,S,976
2021202202,2021100118,37.4,146.6,TS,978
2021202202,2021100200,39.7,147.9,HF,972
2021202202,2021100206,41.6,150.3,S,974
2021202203,2021102100,43.1,-137.3,DHF,973
2021202203,2021102106,46.3,-136.3,HF,953
2021202203,2021102112,46.8,-135.8,HF,951
2021202203,2021102118,48.3,-134.3,HF,952
2021202203,2021102200,50.3,-134.1,S,960
2021202204,2021102118,56.1,-172.6,DHF,949
2021202204,2021102200,56.6,-170.2,HF,944
2021202204,2021102206,56.3,-166.9,HF,948
2021202204,2021102212,56.1,-164.5,HF,952
2021202204,2021102218,55.7,-160.8,HF,961
2021202204,2021102300,55.5,-155.4,HF,965
2021202204,2021102306,54.7,-152.7,S,968
2021202205,2021102318,44.7,-145.8,DHF,980
2021202205,2021102400,44.1,-138.9,HF,964
2021202205,2021102406,45.1,-136.3,HF,949
2021202205,2021102412,45.4,-133.5,HF,943
2021202205,2021102418,46.3,-130.8,S,942
2021202206,2021102400,45.8,168.3,DHF,976
2021202206,2021102406,47.4,171.8,HF,972
2021202206,2021102412,49.9,177.4,HF,971
2021202206,2021102418,51.2,-177.3,S,969
2021202207,2021102600,34.7,142.8,DHF,997
2021202207,2021102606,36.8,145.1,HF,985
2021202207,2021102612,39,147.6,HF,984
2021202207,2021102618,40.9,150.2,HF,977
2021202207,2021102700,42.7,153.3,S,977
2021202208,2021110218,47.8,-133.6,DHF,994
2021202208,2021110300,50.4,-132.2,HF,994
2021202208,2021110306,52.2,-132.4,S,997
2021202209,2021110400,39.8,157.1,DHF,984
2021202209,2021110406,41.2,158.3,HF,984
2021202209,2021110412,41.9,159.7,S,984
2021202210,2021112106,38.1,171.8,DHF,982
2021202210,2021112112,39.2,176.6,HF,976
2021202210,2021112118,39.7,179.1,HF,972
2021202210,2021112200,41.2,-177.9,HF,970
2021202210,2021112206,43,-175.9,HF,969
2021202210,2021112212,44.2,-174.7,S,964
2021202211,2021112206,50.9,-135.8,DHF,985
2021202211,2021112212,54.8,-132.7,HF,978
2021202211,2021112218,58.1,-133,G,988
2021202212,2021120118,53.2,145.1,DHF,959
2021202212,2021120200,52.7,145.5,HF,951
2021202212,2021120206,53.8,148,S,948
2021202213,2021120906,54.8,-171.5,DHF,975
2021202213,2021120912,56.6,-166.8,HF,960
2021202213,2021120918,57.4,-161.5,HF,956
2021202213,2021121000,58.4,-156.4,S,963
2021202214,2021121218,52.7,163.5,DHF,970
2021202214,2021121300,55.8,166.4,HF,965
2021202214,2021121306,56.2,165.2,HF,962
2021202214,2021121312,56.5,166.5,HF,966
2021202214,2021121318,57.1,165.7,HF,969
2021202214,2021121400,49.7,161.7,S,970
2021202215,2021121606,35.6,165.6,DHF,1005
2021202215,2021121612,36.7,169.3,HF,996
2021202215,2021121618,37.6,172.1,HF,990
2021202215,2021121700,37.5,175.9,S,994
2021202216,2021121712,41.9,152.5,DHF,972
2021202216,2021121718,45.9,156.6,HF,956
2021202216,2021121800,48.5,160.3,HF,954
2021202216,2021121806,51.6,164.3,HF,956
2021202216,2021121812,55.5,167.4,S,962
2021202217,2021122200,56.1,171.7,DHF,976
2021202217,2021122206,56.9,169.1,HF,971
2021202217,2021122212,57.2,168.9,HF,970
2021202217,2021122218,58.8,171.3,S,980
2021202218,2021122500,37,179,DHF,976
2021202218,2021122506,39.8,178.8,HF,968
2021202218,2021122512,42.1,176.3,S,970
2021202219,2021122600,46.6,160.6,DHF,972
2021202219,2021122606,48.7,161.7,HF,968
2021202219,2021122612,50.6,160.4,S,959
2021202220,2021122912,44.8,173.8,DHF,991
2021202220,2021122918,46.1,175.4,HF,989
2021202220,2021123000,47.5,178.4,S,990
2021202221,2022010100,46.8,162.7,DHF,982
2021202221,2022010106,50.1,162.1,HF,974
2021202221,2022010112,52.2,160.8,HF,969
2021202221,2022010118,57.3,158.3,S,971
2021202222,2022010112,59.4,-142,DHF,972
2021202222,2022010118,59.3,-144.6,HF,971
2021202222,2022010200,58.4,-145.6,HF,973
2021202222,2022010206,57.4,-144.5,HF,976
2021202222,2022010212,55.1,-146,HF,979
2021202222,2022010218,53,-145.8,S,980
2021202223,2022010500,45.4,169.1,DHF,988
2021202223,2022010506,45.8,169.7,HF,983
2021202223,2022010512,46,166.3,S,980
2021202224,2022010800,36,176,S,995
2021202224,2022010806,38.1,-178.4,HF,990
2021202224,2022010812,38.2,-173.2,DHF,982
2021202224,2022010818,39.3,-168.2,HF,974
2021202224,2022010900,40,-162.8,HF,969
2021202224,2022010906,40.6,-157.9,HF,968
2021202224,2022010912,41.7,-153.7,HF,968
2021202224,2022010918,43.2,-150.2,S,969
2021202225,2022011118,36.9,-173.4,DHF,986
2021202225,2022011200,41.5,-168.2,HF,968
2021202225,2022011206,42.9,-165.8,HF,962
2021202225,2022011212,44.5,-163.7,HF,956
2021202225,2022011218,45.5,-159.9,HF,956
2021202225,2022011300,48.2,-157.8,HF,958
2021202225,2022011306,50.4,-156.7,S,961
2021202226,2022011200,42.1,139.3,DHF,985
2021202226,2022011206,43.8,142.1,HF,972
2021202226,2022011212,43,145.2,S,976
2021202227,2022011312,38.7,173.3,DHF,974
2021202227,2022011318,38.3,178.3,HF,976
2021202227,2022011400,37.2,-177.2,S,979
2021202228,2022011906,38.5,172.4,DHF,963
2021202228,2022011912,39.6,176.2,HF,959
2021202228,2022011918,40.3,177.7,HF,955
2021202228,2022012000,40.9,178.9,S,956
2021202229,2022012106,36.7,164.4,DHF,984
2021202229,2022012112,37.5,167.9,HF,978
2021202229,2022012118,39.4,171.4,HF,972
2021202229,2022012200,40.6,176.7,HF,970
2021202229,2022012206,42.2,-179.8,S,967
2021202230,2022012512,41.4,167,DHF,962
2021202230,2022012518,42.4,167.6,HF,955
2021202230,2022012600,44.4,170.1,HF,956
2021202230,2022012606,45.7,-179.4,HF,954
2021202230,2022012612,47.5,179.8,S,954
2021202231,2022012800,40.2,173.2,DHF,982
2021202231,2022012806,42.6,176.1,HF,969
2021202231,2022012812,45.4,178.2,HF,965
2021202231,2022012818,48.2,178.4,S,968
2021202232,2022012918,37,-171.3,DHF,979
2021202232,2022013000,40.7,-169.8,HF,966
